curation_decision,include_public,reviewer,review_date,confidence_score_reviewed,official_sample_name,official_material_family,official_form_factor,official_cnt_type,official_synthesis_method,official_postprocessing,official_measurement_method,official_condition_temperature_C,official_condition_atmosphere,official_gauge_length_mm,official_strain_rate_s_inv,official_provenance_table_figure_page,duplicate_group_id,primary_record_id,curation_notes,required_action,record_id,source_file,source_sheet,source_row,record_label,sample_name,material_family,form_factor,cnt_type,synthesis_method,postprocessing,comparison_scope,source_citation_class,evidence_tier,comparison_note,dataset_provenance,primary_source_verification_status,doi_raw,doi_verified,url_raw,publication_validation_status,publication_title_verified,publication_authors_short_verified,publication_authors_full_verified,publication_journal_verified,publication_year_verified,publication_published_date_verified,publication_issue_pages_verified,publication_group_key,publication_group_record_count,issue_types,issue_count,issue_messages,density_g_cm3_raw,density_kg_m3,specific_volume_m3_kg,diameter_um_raw,diameter_m,linear_density_tex_raw,linear_density_kg_m,tenacity_N_tex_raw,specific_strength_N_m_kg,tensile_strength_GPa_raw,tensile_strength_GPa,tensile_strength_Pa,tensile_strength_unit_inference,initial_modulus_N_tex_raw,specific_modulus_N_m_kg,initial_modulus_GPa,initial_modulus_Pa,breaking_strain_pct_raw,breaking_strain_fraction,rupture_work_J_g_raw,rupture_work_J_kg,electrical_conductivity_S_cm_raw,electrical_conductivity_MS_m_raw,electrical_conductivity_S_m,specific_electrical_conductivity_S_m2_kg,thermal_conductivity_W_mK_raw,thermal_conductivity_W_mK,specific_thermal_conductivity_W_m2_K_kg,g_d_ratio_raw,g_d_ratio,ampacity_A_cm2_raw,ampacity_A_m2,ampacity_gauge_length_mm,condition_temperature_C,condition_atmosphere,measurement_method,gauge_length_mm,strain_rate_s_inv,provenance_table_figure_page,compilation_source_doi_raw,compilation_source_title,compilation_source_authors_short,compilation_source_journal,compilation_source_year,secondary_source_doi_raw,secondary_source_title,secondary_source_authors_short,secondary_source_journal,secondary_source_year,original_reference_raw,doi_resolution_status,doi_resolution_score,duplicate_of_record_id,duplicate_match_score,source_export,extraction_method,citation_raw,source_citation_raw,source_priority,group_label,reference_keys,publication_title,publication_authors_short,publication_journal,publication_year,publication_published_date,publication_issue_pages,heat_treatment_C,public_status,internal_status,curator,confidence_score,raw_payload_json,notes,specific_volume_cm3_g
needs_review,,,,,This Work-Raw,CNT_or_CNT_hybrid,fiber_yarn,,,raw,,,,,,,,,,find_primary_publication;extract_test_conditions,rec_70d98b63b98c,XiaO_DATA.xlsx,Sheet1,5,This work-Raw,This Work-Raw,CNT_or_CNT_hybrid,fiber_yarn,,,raw,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,source:XiaO_DATA.xlsx:Sheet1:5,1,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",0.662487142797564,662.487142797564,0.0015094632565655,44.0,4.4e-05,0.473,4.73e-07,1.22888441,1228884.41,0.809064649866361,0.809064649866361,809064649.8663609,raw_value_as_GPa,53.1241818181818,53124181.818181805,,,4.97761533333333,0.0497761533333333,43.0390506666667,43039.0506666667,1650.0,,165000.0,249.06143733331135,105.6,105.6,0.1593993198933192,,,,,,,,,,,,,,,,,,,,,,,,,,,OriginPro export from Xiao Ashby plot workbook,exported_table,,,1,This work-Raw,,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""record_label"": ""This work-Raw"", ""notes"": ""This Work-Raw"", ""citation_raw"": null, ""diameter_um_raw"": 44, ""diameter_um_error_raw"": null, ""density_g_cm3_raw"": 0.662487142797564, ""density_g_cm3_error_raw"": 0.154121635952007, ""linear_density_tex_raw"": 0.473, ""linear_density_tex_error_raw"": null, ""tenacity_N_tex_raw"": 1.22888441, ""tenacity_N_tex_error_raw"": 0.084368496889723, ""tensile_strength_GPa_raw"": 0.809064649866361, ""tensile_strength_GPa_error_raw"": 0.186515578332482, ""initial_modulus_N_tex_raw"": 53.1241818181818, ""initial_modulus_N_tex_error_raw"": 5.1627574576556, ""initial_modulus_GPa_raw"": null, ""initial_modulus_GPa_error_raw"": null, ""breaking_strain_pct_raw"": 4.97761533333333, ""breaking_strain_pct_error_raw"": 0.512353954668926, ""rupture_work_J_g_raw"": 43.0390506666667, ""rupture_work_J_g_error_raw"": 6.03821409718963, ""electrical_conductivity_S_cm_raw"": 1650, ""electrical_conductivity_S_cm_error_raw"": null, ""thermal_conductivity_W_mK_raw"": 105.6, ""thermal_conductivity_W_mK_error_raw"": null}",This Work-Raw,1.5094632565655235
needs_review,,,,,Raw Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,raw,,,,,,,,,,find_primary_publication;extract_test_conditions,rec_04a1f6a3011e,RadarFigureSource.xlsx,Radar,7,Xiao-Boies Work-Raw,Raw Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,raw,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,source:RadarFigureSource.xlsx:Radar:7,1,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",0.66,660.0,0.0015151515151515,,,,,1.23,1230000.0,0.8118000000000001,0.8118000000000001,811800000.0000001,raw_value_as_GPa,53.0,53000000.0,,,,,43.0,43000.0,,0.16,160000.0,242.42424242424244,106.0,106.0,0.1606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""Xiao-Boies Work-Raw"", ""Comments"": ""Raw Direct-spun CNTF"", ""Density [g cm−3] ±"": 0.66, ""Specific Volume [cm3g-1]"": 1.5151515151515151, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 1.23, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 53, ""Work of Rupture [J g−1]"": 43, ""E Cond [MS m^2/g]"": 0.24242424242424243, ""Thermal Conductivity [W m−1 K−1]"": 106, ""Electrical Conductivity [MS m−1]"": 0.16, ""Tensile [GPa]"": 0.8118000000000001, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,1.5151515151515151
needs_review,,,,,Raw Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,raw,,,,,,,,,,find_primary_publication;extract_test_conditions,rec_fbe8fb7f71e0,RadarFigureSource.xlsx,Fibers With Error,7,This Work-Raw,Raw Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,raw,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,source:RadarFigureSource.xlsx:Fibers With Error:7,1,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",0.66,660.0,0.0015151515151515,,,,,1.23,1230000.0,0.8118000000000001,0.8118000000000001,811800000.0000001,raw_value_as_GPa,53.0,53000000.0,,,5.0,0.05,43.0,43000.0,,0.16,160000.0,242.42424242424244,106.0,106.0,0.1606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""This Work-Raw"", ""Comments"": ""Raw Direct-spun CNTF"", ""Density [g cm−3] ±"": 0.66, ""Unnamed: 4"": 0.15, ""1/Density [cm3g-1]"": 1.5151515151515151, ""Tenacity [N tex−1]"": 1.23, ""±"": 0.08, ""Initial Modulus [N tex−1]"": 53, ""±.1"": 5, ""Elongation [%]"": 5, ""±.2"": 0.5, ""Work of Rupture [J g−1]"": 43, ""±.3"": 6, ""Electrical Conductivity [MS m−1]"": 0.16, ""±.4"": null, ""Thermal Conductivity [W m−1 K−1]"": 106, ""±.5"": null, ""Tensile (Gpa)"": 0.8118000000000001, ""Unnamed: 19"": null}",,1.5151515151515151
needs_review,,,,,Solution-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_e83a44703069,RadarFigureSource.xlsx,Radar,9,SS-2004(59),Solution-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:59,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",1.11,1110.0,0.0009009009009009,,,,,0.1,100000.0,0.111,0.111,111000000.0,raw_value_as_GPa,108.0,108000000.0,,,,,,,,,,,21.0,21.0,0.0189189189189189,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,59,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""SS-2004(59)"", ""Comments"": ""Solution-spun CNTF"", ""Density [g cm−3] ±"": 1.11, ""Specific Volume [cm3g-1]"": 0.9009009009009008, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.1, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 108, ""Work of Rupture [J g−1]"": null, ""E Cond [MS m^2/g]"": null, ""Thermal Conductivity [W m−1 K−1]"": 21, ""Electrical Conductivity [MS m−1]"": null, ""Tensile [GPa]"": 0.11100000000000002, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,0.9009009009009008
needs_review,,,,,Solution-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_463412351760,RadarFigureSource.xlsx,Fibers With Error,9,SS-2004(59),Solution-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:59,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",1.11,1110.0,0.0009009009009009,,,,,0.1,100000.0,0.111,0.111,111000000.0,raw_value_as_GPa,108.0,108000000.0,,,,,,,,,,,21.0,21.0,0.0189189189189189,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,59,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""SS-2004(59)"", ""Comments"": ""Solution-spun CNTF"", ""Density [g cm−3] ±"": 1.11, ""Unnamed: 4"": 0.07, ""1/Density [cm3g-1]"": 0.9009009009009008, ""Tenacity [N tex−1]"": 0.1, ""±"": 0.01, ""Initial Modulus [N tex−1]"": 108, ""±.1"": 9, ""Elongation [%]"": null, ""±.2"": null, ""Work of Rupture [J g−1]"": null, ""±.3"": null, ""Electrical Conductivity [MS m−1]"": null, ""±.4"": null, ""Thermal Conductivity [W m−1 K−1]"": 21, ""±.5"": null, ""Tensile (Gpa)"": 0.11100000000000002, ""Unnamed: 19"": null}",,0.9009009009009008
needs_review,,,,,Acetone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,densified,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_a767fefb6d1f,RadarFigureSource.xlsx,Radar,33,DS-CAM-Den(14),Acetone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,densified,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:14,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",,,,,,,,1.1,1100000.0,,,,,50.0,50000000.0,,,,,13.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,14,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""DS-CAM-Den(14)"", ""Comments"": ""Acetone Direct-spun CNTF"", ""Density [g cm−3] ±"": null, ""Specific Volume [cm3g-1]"": null, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 1.1, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 50, ""Work of Rupture [J g−1]"": 13, ""E Cond [MS m^2/g]"": null, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": null, ""Tensile [GPa]"": null, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,
needs_review,,,,,Dog Bone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_029f37469abf,RadarFigureSource.xlsx,Radar,34,DS-CAM-DogBone(50),Dog Bone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:50,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",,,,,,,,2.2,2200000.0,,,,,160.0,160000000.0,,,,,46.0,46000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,50,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""DS-CAM-DogBone(50)"", ""Comments"": ""Dog Bone Direct-spun CNTF"", ""Density [g cm−3] ±"": null, ""Specific Volume [cm3g-1]"": null, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 2.2, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 160, ""Work of Rupture [J g−1]"": 46, ""E Cond [MS m^2/g]"": null, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": null, ""Tensile [GPa]"": null, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,
needs_review,,,,,Twisted VA-CNTF,CNT_or_CNT_hybrid,fiber_yarn,,forest_drawn_or_VA_CNT,,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_61139518b23d,RadarFigureSource.xlsx,Radar,35,VA-UT2004(19),Twisted VA-CNTF,CNT_or_CNT_hybrid,fiber_yarn,,forest_drawn_or_VA_CNT,,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:19,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",0.8,800.0,0.00125,,,,,0.58,580000.0,0.4639999999999999,0.4639999999999999,463999999.99999994,raw_value_as_GPa,,,,,,,14.0,14000.0,,0.03,30000.0,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,19,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""VA-UT2004(19)"", ""Comments"": ""Twisted VA-CNTF"", ""Density [g cm−3] ±"": 0.8, ""Specific Volume [cm3g-1]"": 1.25, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.58, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": null, ""Work of Rupture [J g−1]"": 14, ""E Cond [MS m^2/g]"": 0.0375, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": 0.03, ""Tensile [GPa]"": 0.46399999999999997, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,1.25
needs_review,,,,,Acetone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,densified,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_9aa6fee9f185,RadarFigureSource.xlsx,Fibers With Error,35,DS-CAM-Den(14),Acetone Direct-spun CNTF,CNT_or_CNT_hybrid,fiber_yarn,,direct_spun_FCCVD,densified,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:14,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",,,,,,,,1.1,1100000.0,,,,,50.0,50000000.0,,,3.8,0.038,13.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,14,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""DS-CAM-Den(14)"", ""Comments"": ""Acetone Direct-spun CNTF"", ""Density [g cm−3] ±"": null, ""Unnamed: 4"": null, ""1/Density [cm3g-1]"": null, ""Tenacity [N tex−1]"": 1.1, ""±"": null, ""Initial Modulus [N tex−1]"": 50, ""±.1"": null, ""Elongation [%]"": 3.8, ""±.2"": null, ""Work of Rupture [J g−1]"": 13, ""±.3"": null, ""Electrical Conductivity [MS m−1]"": null, ""±.4"": null, ""Thermal Conductivity [W m−1 K−1]"": null, ""±.5"": null, ""Tensile (Gpa)"": null, ""Unnamed: 19"": null}",,
needs_review,,,,,Twisted VA-CNTF,CNT_or_CNT_hybrid,fiber_yarn,,forest_drawn_or_VA_CNT,,,,,,,,,,,find_primary_publication;extract_test_conditions;check_duplicate_or_multi_sample_group,rec_e409dbdd2a40,RadarFigureSource.xlsx,Radar,36,VA-UT2007(63),Twisted VA-CNTF,CNT_or_CNT_hybrid,fiber_yarn,,forest_drawn_or_VA_CNT,,strict_candidate_missing_conditions,unresolved_or_internal_source,needs_source_review,Record lacks DOI-backed provenance; keep internal until source is resolved.,published_source_table,not_assessed,,,,missing_doi,,,,,,,,ref:63,2,missing_conditions;missing_reference,2,"CNT/graphene row lacks DOI-like citation string. | Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv.",0.8,800.0,0.00125,,,,,0.88,880000.0,0.7040000000000001,0.7040000000000001,704000000.0000001,raw_value_as_GPa,,,,,,,27.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,,,2,,63,,,,,,,,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""VA-UT2007(63)"", ""Comments"": ""Twisted VA-CNTF"", ""Density [g cm−3] ±"": 0.8, ""Specific Volume [cm3g-1]"": 1.25, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.88, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": null, ""Work of Rupture [J g−1]"": 27, ""E Cond [MS m^2/g]"": null, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": null, ""Tensile [GPa]"": 0.7040000000000001, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,1.25
