reference_raw,reference_normalized,row_count,year_hint,query_title,resolved_doi,resolved_title,resolved_journal,resolved_year,resolved_source,match_score,resolution_status,candidate_json
2019 Nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning,nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning,40,2019.0,Nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning,10.1016/j.carbon.2019.05.062,Nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning,Carbon,2019.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 92.42218, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2019.05.062"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning"", ""year"": 2019}, {""api_error"": null, ""api_score"": 3343.422, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2019.05.062"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Nanotube length and density dependences of electrical and mechanical properties of carbon nanotube fibres made by wet spinning"", ""year"": 2019}, {""api_error"": null, ""api_score"": 52.87544, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2024.119716"", ""journal"": ""Carbon"", ""match_score"": 0.5390476190476191, ""source"": ""crossref"", ""title"": ""Enhanced mechanical and electrical properties of single-walled carbon nanotube fibers via electric field-assisted wet spinning"", ""year"": 2025}, {""api_error"": null, ""api_score"": 944.7345, ""api_status"": 200, ""doi"": ""10.1039/c9nr06952f"", ""journal"": ""Nanoscale"", ""match_score"": 0.42961883408071744, ""source"": ""openalex"", ""title"": ""Mechanisms of mechanical reinforcement by graphene and carbon nanotubes in polymer nanocomposites"", ""year"": 2020}, {""api_error"": null, ""api_score"": 50.725803, ""api_status"": 200, ""doi"": ""10.3390/polym13224048"", ""journal"": ""Polymers"", ""match_score"": 0.4132841328413284, ""source"": ""crossref"", ""title"": ""A Wet-Spinning Process for Producing Carbon Nanotube/Polyvinylidene Fluoride Fibers Having Highly Consistent Electrical and Mechanical Properties"", ""year"": 2021}]"
2016 Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy,relationship between mechanical and electrical properties of continuous polymer free carbon nanotube fibers by wet spinning method and nanotube length estimated by far infrared spectroscopy,29,2016.0,Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy,10.1021/acs.jpcc.6b06746,Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy,The Journal of Physical Chemistry C,2016.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 105.24138, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.6b06746"", ""journal"": ""The Journal of Physical Chemistry C"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy"", ""year"": 2016}, {""api_error"": null, ""api_score"": 3589.73, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.6b06746"", ""journal"": ""The Journal of Physical Chemistry C"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy"", ""year"": 2016}, {""api_error"": null, ""api_score"": 144.18484, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.6b06746.s001"", ""journal"": null, ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Relationship between Mechanical and Electrical Properties of Continuous Polymer-Free Carbon Nanotube Fibers by Wet-Spinning Method and Nanotube-Length Estimated by Far-Infrared Spectroscopy"", ""year"": null}, {""api_error"": null, ""api_score"": 58.61198, ""api_status"": 200, ""doi"": ""10.7567/apex.9.055101"", ""journal"": ""Applied Physics Express"", ""match_score"": 0.5766442953020134, ""source"": ""crossref"", ""title"": ""Wet spinning of continuous polymer-free carbon-nanotube fibers with high electrical conductivity and strength"", ""year"": 2016}, {""api_error"": null, ""api_score"": 59.74115, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2024.119716"", ""journal"": ""Carbon"", ""match_score"": 0.45968253968253964, ""source"": ""crossref"", ""title"": ""Enhanced mechanical and electrical properties of single-walled carbon nanotube fibers via electric field-assisted wet spinning"", ""year"": 2025}]"
2012_Ion irradiation of electronic-type-separated single wall carbon nanotubes A model for radiation effects in nanostructured carbon,ion irradiation of electronic type separated single wall carbon nanotubes a model for radiation effects in nanostructured carbon,28,2012.0,Ion irradiation of electronic-type-separated single wall carbon nanotubes A model for radiation effects in nanostructured carbon,10.1063/1.4739713,Ion irradiation of electronic-type-separated single wall carbon nanotubes: A model for radiation effects in nanostructured carbon,Journal of Applied Physics,2012.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 64.58938, ""api_status"": 200, ""doi"": ""10.1063/1.4739713"", ""journal"": ""Journal of Applied Physics"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Ion irradiation of electronic-type-separated single wall carbon nanotubes: A model for radiation effects in nanostructured carbon"", ""year"": 2012}, {""api_error"": null, ""api_score"": 2294.0989, ""api_status"": 200, ""doi"": ""10.1063/1.4739713"", ""journal"": ""Journal of Applied Physics"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Ion irradiation of electronic-type-separated single wall carbon nanotubes: A model for radiation effects in nanostructured carbon"", ""year"": 2012}, {""api_error"": null, ""api_score"": 62.76799, ""api_status"": 200, ""doi"": ""10.1063/1.4768435"", ""journal"": ""Journal of Applied Physics"", ""match_score"": 0.8767123287671232, ""source"": ""crossref"", ""title"": ""Erratum: “Ion irradiation of electronic-type-separated single wall carbon nanotubes: A model for radiation effects in nanostructured carbon” [J. Appl. Phys. 112, 034314 (2012)]"", ""year"": 2012}, {""api_error"": null, ""api_score"": 47.73956, ""api_status"": 200, ""doi"": ""10.5772/18140"", ""journal"": ""Electronic Properties of Carbon Nanotubes"", ""match_score"": 0.4816753926701571, ""source"": ""crossref"", ""title"": ""Low-Energy Irradiation Damage in Single-Walled Carbon Nanotubes"", ""year"": 2011}, {""api_error"": null, ""api_score"": 48.94879, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.8b08771.s002"", ""journal"": null, ""match_score"": 0.4787234042553192, ""source"": ""crossref"", ""title"": ""Defect Evolution of Ion-Exposed Single-Wall Carbon Nanotubes"", ""year"": null}]"
2008 The Relationship between network morphology and conductivity in nanotube films,the relationship between network morphology and conductivity in nanotube films,25,2008.0,The Relationship between network morphology and conductivity in nanotube films,10.1063/1.2968437,The relationship between network morphology and conductivity in nanotube films,Journal of Applied Physics,2008.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 38.399277, ""api_status"": 200, ""doi"": ""10.1063/1.2968437"", ""journal"": ""Journal of Applied Physics"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""The relationship between network morphology and conductivity in nanotube films"", ""year"": 2008}, {""api_error"": null, ""api_score"": 3490.9873, ""api_status"": 200, ""doi"": ""10.1063/1.2968437"", ""journal"": ""Journal of Applied Physics"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""The relationship between network morphology and conductivity in nanotube films"", ""year"": 2008}, {""api_error"": null, ""api_score"": 33.102306, ""api_status"": 200, ""doi"": ""10.1039/c0nr00259c"", ""journal"": ""Nanoscale"", ""match_score"": 0.5810055865921788, ""source"": ""crossref"", ""title"": ""Gel–carbon nanotube materials: the relationship between nanotube network connectivity and conductivity"", ""year"": 2010}, {""api_error"": null, ""api_score"": 28.45945, ""api_status"": 200, ""doi"": ""10.1021/acs.jpcc.0c06114.s001"", ""journal"": null, ""match_score"": 0.5797101449275363, ""source"": ""crossref"", ""title"": ""Morphology and Conductivity of Copper Hexacyanoferrate Films"", ""year"": null}, {""api_error"": null, ""api_score"": 753.8065, ""api_status"": 200, ""doi"": ""10.1007/s10853-019-03368-0"", ""journal"": ""Journal of Materials Science"", ""match_score"": 0.37925925925925924, ""source"": ""openalex"", ""title"": ""Thermal conductivity of carbon nanotube networks: a review"", ""year"": 2019}]"
2019 Extreme stretching of high G:D ratio carbon nanotube fibers using super-acid,extreme stretching of high g d ratio carbon nanotube fibers using super acid,25,2019.0,Extreme stretching of high G:D ratio carbon nanotube fibers using super-acid,10.1016/j.carbon.2019.07.061,Extreme stretching of high G:D ratio carbon nanotube fibers using super-acid,Carbon,2019.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 56.33062, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2019.07.061"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Extreme stretching of high G:D ratio carbon nanotube fibers using super-acid"", ""year"": 2019}, {""api_error"": null, ""api_score"": 2834.1418, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2019.07.061"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Extreme stretching of high G:D ratio carbon nanotube fibers using super-acid"", ""year"": 2019}, {""api_error"": null, ""api_score"": 37.63291, ""api_status"": 200, ""doi"": ""10.1021/acs.nanolett.9b00350.s001"", ""journal"": null, ""match_score"": 0.5859872611464968, ""source"": ""crossref"", ""title"": ""Dynamic Strengthening of Carbon Nanotube Fibers under Extreme Mechanical Impulses"", ""year"": null}, {""api_error"": null, ""api_score"": 35.043236, ""api_status"": 200, ""doi"": ""10.1021/jacs.4c01705.s001"", ""journal"": null, ""match_score"": 0.4666666666666667, ""source"": ""crossref"", ""title"": ""Kinetic Modulation of Carbon Nanotube Growth in Direct Spinning for High-Strength Carbon Nanotube Fibers"", ""year"": null}, {""api_error"": null, ""api_score"": 36.022964, ""api_status"": 200, ""doi"": ""10.1021/acsami.9b19861.s001"", ""journal"": null, ""match_score"": 0.46511627906976744, ""source"": ""crossref"", ""title"": ""Super-Strong Carbon Nanotube Fibers Achieved by Engineering Gas Flow and Postsynthesis Treatment"", ""year"": null}]"
2019_Tailoring physical properties of carbon nanotube threads during assembly,tailoring physical properties of carbon nanotube threads during assembly,25,2019.0,Tailoring physical properties of carbon nanotube threads during assembly,10.1016/j.carbon.2018.11.036,Tailoring physical properties of carbon nanotube threads during assembly,Carbon,2019.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 54.392532, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2018.11.036"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Tailoring physical properties of carbon nanotube threads during assembly"", ""year"": 2019}, {""api_error"": null, ""api_score"": 2154.645, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2018.11.036"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Tailoring physical properties of carbon nanotube threads during assembly"", ""year"": 2018}, {""api_error"": null, ""api_score"": 33.075348, ""api_status"": 200, ""doi"": ""10.1021/acs.jpclett.0c01827.s001"", ""journal"": null, ""match_score"": 0.5625, ""source"": ""crossref"", ""title"": ""Tailoring the Properties of Single-Wall Carbon Nanotube Samples through Structure-Selective Near-Infrared Photochemistry"", ""year"": null}, {""api_error"": null, ""api_score"": 31.400043, ""api_status"": 200, ""doi"": ""10.1021/acs.langmuir.7b00494.s001"", ""journal"": null, ""match_score"": 0.5612244897959183, ""source"": ""crossref"", ""title"": ""Tailoring the Electrochemical Properties of Carbon Nanotube Modified Indium Tin Oxide via in Situ Grafting of Aryl Diazonium"", ""year"": null}, {""api_error"": null, ""api_score"": 34.573204, ""api_status"": 200, ""doi"": ""10.1021/acs.jpclett.9b02777.s001"", ""journal"": null, ""match_score"": 0.5389221556886228, ""source"": ""crossref"", ""title"": ""Machine Learning for Tailoring Optoelectronic Properties of Single-Walled Carbon Nanotube Films"", ""year"": null}]"
"1987 ELECTRICAL CONDUCTIVITY, MECHANICAL PROPERTIES AND STABILITY OF INTERCALATED GRAPHITE FIBERS",electrical conductivity mechanical properties and stability of intercalated graphite fibers,22,1987.0,"ELECTRICAL CONDUCTIVITY, MECHANICAL PROPERTIES AND STABILITY OF INTERCALATED GRAPHITE FIBERS",10.1016/0379-6779(87)90941-6,"Electrical conductivity, mechanical properties and stability of intercalated graphite fibers",Synthetic Metals,1987.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 54.815117, ""api_status"": 200, ""doi"": ""10.1016/0379-6779(87)90941-6"", ""journal"": ""Synthetic Metals"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Electrical conductivity, mechanical properties and stability of intercalated graphite fibers"", ""year"": 1987}, {""api_error"": null, ""api_score"": 278.04608, ""api_status"": 200, ""doi"": ""10.1016/0379-6779(87)90941-6"", ""journal"": ""Synthetic Metals"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Electrical conductivity, mechanical properties and stability of intercalated graphite fibers"", ""year"": 1987}, {""api_error"": null, ""api_score"": 39.15755, ""api_status"": 200, ""doi"": ""10.1557/proc-20-63"", ""journal"": ""MRS Proceedings"", ""match_score"": 0.6686631016042781, ""source"": ""crossref"", ""title"": ""A Study of the Electrical and Mechanical Properties of Alkali Metal Intercalated Graphite Fibers"", ""year"": 1982}, {""api_error"": null, ""api_score"": 278.00446, ""api_status"": 200, ""doi"": ""10.1016/0379-6779(85)90162-6"", ""journal"": ""Synthetic Metals"", ""match_score"": 0.6438356164383562, ""source"": ""openalex"", ""title"": ""Environmental stability of intercalated graphite fibers"", ""year"": 1985}, {""api_error"": null, ""api_score"": 39.74159, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(84)90355-5"", ""journal"": ""Carbon"", ""match_score"": 0.6362162162162163, ""source"": ""crossref"", ""title"": ""138. Electrical properties of intercalated graphite fibers"", ""year"": 1984}]"
2018 Structure–Property Relations in Carbon Nanotube Fibers by Downscaling Solution Processing,structure property relations in carbon nanotube fibers by downscaling solution processing,22,2018.0,Structure–Property Relations in Carbon Nanotube Fibers by Downscaling Solution Processing,10.1002/adma.201704482,Structure–Property Relations in Carbon Nanotube Fibers by Downscaling Solution Processing,Advanced Materials,2018.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 50.966473, ""api_status"": 200, ""doi"": ""10.1002/adma.201704482"", ""journal"": ""Advanced Materials"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Structure–Property Relations in Carbon Nanotube Fibers by Downscaling Solution Processing"", ""year"": 2018}, {""api_error"": null, ""api_score"": 4049.0334, ""api_status"": 200, ""doi"": ""10.1002/adma.201704482"", ""journal"": ""Advanced Materials"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Structure–Property Relations in Carbon Nanotube Fibers by Downscaling Solution Processing"", ""year"": 2018}, {""api_error"": null, ""api_score"": 38.63855, ""api_status"": 200, ""doi"": ""10.1016/b978-0-08-102722-6.00004-3"", ""journal"": ""Carbon Nanotube Fibers and Yarns"", ""match_score"": 0.496, ""source"": ""crossref"", ""title"": ""Solution-spun carbon nanotube fibers"", ""year"": 2020}, {""api_error"": null, ""api_score"": 360.1432, ""api_status"": 200, ""doi"": ""10.1093/nsr/nwae203"", ""journal"": ""National Science Review"", ""match_score"": 0.4687804878048781, ""source"": ""openalex"", ""title"": ""Wet-spinning of carbon nanotube fibers: dispersion, processing and properties"", ""year"": 2024}, {""api_error"": null, ""api_score"": 33.96943, ""api_status"": 200, ""doi"": ""10.1021/acsami.5b09912.s001"", ""journal"": null, ""match_score"": 0.5170731707317073, ""source"": ""crossref"", ""title"": ""Post-Treatments for Multifunctional Property Enhancement of Carbon Nanotube Fibers from the Floating Catalyst Method"", ""year"": null}]"
1984 AN ASSESSMENT OF GRAPHITIZED CARBON FIBER USE FOR ELECTRICAL POWER TRANSMISSION,an assessment of graphitized carbon fiber use for electrical power transmission,17,1984.0,AN ASSESSMENT OF GRAPHITIZED CARBON FIBER USE FOR ELECTRICAL POWER TRANSMISSION,10.1016/0379-6779(84)90007-9,An assessment of graphitized carbon fiber use for electrical power transmission,Synthetic Metals,1984.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 47.350964, ""api_status"": 200, ""doi"": ""10.1016/0379-6779(84)90007-9"", ""journal"": ""Synthetic Metals"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""An assessment of graphitized carbon fiber use for electrical power transmission"", ""year"": 1984}, {""api_error"": null, ""api_score"": 1908.5056, ""api_status"": 200, ""doi"": ""10.1016/0379-6779(84)90007-9"", ""journal"": ""Synthetic Metals"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""An assessment of graphitized carbon fiber use for electrical power transmission"", ""year"": 1984}, {""api_error"": null, ""api_score"": 33.003345, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(82)90495-x"", ""journal"": ""Carbon"", ""match_score"": 0.6257668711656442, ""source"": ""crossref"", ""title"": ""76. Modification of graphitized carbon fiber electrical properties by chemical doping"", ""year"": 1982}, {""api_error"": null, ""api_score"": 27.643969, ""api_status"": 200, ""doi"": ""10.1016/0008-6223(86)90203-4"", ""journal"": ""Carbon"", ""match_score"": 0.5454545454545454, ""source"": ""crossref"", ""title"": ""Properties of graphitized carbon fiber-halogen residue compounds"", ""year"": 1986}, {""api_error"": null, ""api_score"": 329.6462, ""api_status"": 200, ""doi"": ""10.1016/j.pmatsci.2019.02.003"", ""journal"": ""Progress in Materials Science"", ""match_score"": 0.36318181818181816, ""source"": ""openalex"", ""title"": ""Recent advances in carbon-based polymer nanocomposites for electromagnetic interference shielding"", ""year"": 2019}]"
2012 Fabrication and mechanical properties of carbon nanotube yarns spun from ultra-long multi-walled carbon nanotube arrays,fabrication and mechanical properties of carbon nanotube yarns spun from ultra long multi walled carbon nanotube arrays,17,2012.0,Fabrication and mechanical properties of carbon nanotube yarns spun from ultra-long multi-walled carbon nanotube arrays,10.1016/j.carbon.2012.05.043,Fabrication and mechanical properties of carbon nanotube yarns spun from ultra-long multi-walled carbon nanotube arrays,Carbon,2012.0,crossref,1.0,accepted,"[{""api_error"": null, ""api_score"": 102.90165, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2012.05.043"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""crossref"", ""title"": ""Fabrication and mechanical properties of carbon nanotube yarns spun from ultra-long multi-walled carbon nanotube arrays"", ""year"": 2012}, {""api_error"": null, ""api_score"": 5231.5366, ""api_status"": 200, ""doi"": ""10.1016/j.carbon.2012.05.043"", ""journal"": ""Carbon"", ""match_score"": 1.0, ""source"": ""openalex"", ""title"": ""Fabrication and mechanical properties of carbon nanotube yarns spun from ultra-long multi-walled carbon nanotube arrays"", ""year"": 2012}, {""api_error"": null, ""api_score"": 67.686005, ""api_status"": 200, ""doi"": ""10.32657/10356/52044"", ""journal"": null, ""match_score"": 0.5970149253731343, ""source"": ""crossref"", ""title"": ""Mechanical behaviour of carbon nanotube fibers spun from vertically aligned arrays"", ""year"": null}, {""api_error"": null, ""api_score"": 765.86346, ""api_status"": 200, ""doi"": ""10.1038/s41598-017-10279-0"", ""journal"": ""Scientific Reports"", ""match_score"": 0.4898924731182796, ""source"": ""openalex"", ""title"": ""Tensile properties of millimeter-long multi-walled carbon nanotubes"", ""year"": 2017}, {""api_error"": null, ""api_score"": 61.830475, ""api_status"": 200, ""doi"": ""10.1021/jp056425v.s001"", ""journal"": null, ""match_score"": 0.5081081081081081, ""source"": ""crossref"", ""title"": ""Charge Transfer from Metallic Single-Walled Carbon Nanotube Arrays"", ""year"": null}]"
