series_id,source_file,source_sheet,source_row,year,series_code,series_label,property,value_raw,unit_raw,value_canonical,unit_canonical,extraction_method,raw_payload_json
series_6bfc6621dcdf,RadarFigureSource.xlsx,FibersStrengthYr,2,2014,CNTF_SPSTR,CNT fiber specific strength,specific_strength,2.89,GPa/SG_or_N/tex_from_plot,2890000.0,N m/kg,derived_plot_workbook,"{""Year"": 2014, ""CNTF_SPSTR"": 2.89, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": 2.11475, ""GSH_SPSTR"": null, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": null}"
series_6c9339bb8c37,RadarFigureSource.xlsx,FibersStrengthYr,2,2014,CNTSH_SPSTR,CNT sheet specific strength,specific_strength,2.11475,GPa/SG_or_N/tex_from_plot,2114750.0,N m/kg,derived_plot_workbook,"{""Year"": 2014, ""CNTF_SPSTR"": 2.89, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": 2.11475, ""GSH_SPSTR"": null, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": null}"
series_a69ed094cff8,RadarFigureSource.xlsx,FibersStrengthYr,3,2014,CNTSH_SPSTR,CNT sheet specific strength,specific_strength,2.36296,GPa/SG_or_N/tex_from_plot,2362960.0,N m/kg,derived_plot_workbook,"{""Year"": 2014, ""CNTF_SPSTR"": null, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": 2.36296, ""GSH_SPSTR"": null, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": null}"
series_bade73e8a6a2,RadarFigureSource.xlsx,FibersStrengthYr,4,2015,GF_SPSTR,graphene fiber specific strength,specific_strength,0.64828,GPa/SG_or_N/tex_from_plot,648280.0,N m/kg,derived_plot_workbook,"{""Year"": 2015, ""CNTF_SPSTR"": null, ""GF_SPSTR"": 0.64828, ""CNTSH_SPSTR"": null, ""GSH_SPSTR"": 0.32357, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.64828}"
series_41c091d36291,RadarFigureSource.xlsx,FibersStrengthYr,4,2015,GSH_SPSTR,graphene sheet specific strength,specific_strength,0.32357,GPa/SG_or_N/tex_from_plot,323570.0,N m/kg,derived_plot_workbook,"{""Year"": 2015, ""CNTF_SPSTR"": null, ""GF_SPSTR"": 0.64828, ""CNTSH_SPSTR"": null, ""GSH_SPSTR"": 0.32357, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.64828}"
series_44c54ca1e7d3,RadarFigureSource.xlsx,FibersStrengthYr,4,2015,GF_SPSTR.1,graphene fiber specific strength,specific_strength,0.64828,GPa/SG_or_N/tex_from_plot,648280.0,N m/kg,derived_plot_workbook,"{""Year"": 2015, ""CNTF_SPSTR"": null, ""GF_SPSTR"": 0.64828, ""CNTSH_SPSTR"": null, ""GSH_SPSTR"": 0.32357, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.64828}"
series_4816b3557d6e,RadarFigureSource.xlsx,FibersStrengthYr,5,2015,GSH_SPSTR,graphene sheet specific strength,specific_strength,0.43857,GPa/SG_or_N/tex_from_plot,438570.0,N m/kg,derived_plot_workbook,"{""Year"": 2015, ""CNTF_SPSTR"": null, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": null, ""GSH_SPSTR"": 0.43857, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.61714}"
series_31a9b57026a8,RadarFigureSource.xlsx,FibersStrengthYr,5,2015,GF_SPSTR.1,graphene fiber specific strength,specific_strength,0.61714,GPa/SG_or_N/tex_from_plot,617140.0,N m/kg,derived_plot_workbook,"{""Year"": 2015, ""CNTF_SPSTR"": null, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": null, ""GSH_SPSTR"": 0.43857, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.61714}"
series_5fe2e09fa82a,RadarFigureSource.xlsx,FibersStrengthYr,6,2016,CNTF_SPSTR,CNT fiber specific strength,specific_strength,1.16,GPa/SG_or_N/tex_from_plot,1160000.0,N m/kg,derived_plot_workbook,"{""Year"": 2016, ""CNTF_SPSTR"": 1.16, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": 1.06792, ""GSH_SPSTR"": null, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.92357}"
series_78364d10fd88,RadarFigureSource.xlsx,FibersStrengthYr,6,2016,CNTSH_SPSTR,CNT sheet specific strength,specific_strength,1.06792,GPa/SG_or_N/tex_from_plot,1067920.0,N m/kg,derived_plot_workbook,"{""Year"": 2016, ""CNTF_SPSTR"": 1.16, ""GF_SPSTR"": null, ""CNTSH_SPSTR"": 1.06792, ""GSH_SPSTR"": null, ""Unnamed: 6"": null, ""Unnamed: 7"": null, ""Unnamed: 8"": null, ""Unnamed: 9"": null, ""Unnamed: 10"": null, ""Unnamed: 11"": null, ""Unnamed: 12"": null, ""GF_SPSTR.1"": 0.92357}"
