measurement_id,record_id,property,value_canonical,unit_canonical,source_file,source_sheet,source_row,material_family,form_factor,comparison_scope,source_citation_class,evidence_tier,comparison_note
meas_e93a156f740c,rec_d227f22cfdef,density,907.0,kg/m^3,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_582b73933a93,rec_d227f22cfdef,specific_volume,0.0011025358324145533,m^3/kg,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_cd6308749250,rec_d227f22cfdef,diameter,3.899e-05,m,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_c3563facc02b,rec_d227f22cfdef,linear_density,1.08e-06,kg/m,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_4d49a6b84ce9,rec_d227f22cfdef,electrical_conductivity,1400000.0,S/m,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_3f75ca54631e,rec_d227f22cfdef,specific_electrical_conductivity,1540.0,S m^2/kg,literature_addendum_records.tsv,Science 2026 Table S5,2,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_ab4de964d341,rec_71f367f095a5,density,1409.0,kg/m^3,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_b3b685e3427e,rec_71f367f095a5,specific_volume,0.0007097232079488998,m^3/kg,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_df3874a999d8,rec_71f367f095a5,diameter,3.667e-05,m,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_18c7e9ec8894,rec_71f367f095a5,linear_density,1.49e-06,kg/m,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_22f00ea69177,rec_71f367f095a5,electrical_conductivity,15730000.0,S/m,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_38725b4ce1f9,rec_71f367f095a5,specific_electrical_conductivity,11170.0,S m^2/kg,literature_addendum_records.tsv,Science 2026 Table S5,3,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_c368a92f766d,rec_adad7b32be1c,density,1409.0,kg/m^3,literature_addendum_records.tsv,Science 2026 Tables S5-S6,4,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
meas_d1e72c2bf98a,rec_adad7b32be1c,specific_volume,0.0007097232079488998,m^3/kg,literature_addendum_records.tsv,Science 2026 Tables S5-S6,4,CNT_or_CNT_hybrid,fiber_yarn,strict_candidate_missing_conditions,peer_reviewed_research_record,primary_literature_candidate,"Research-material record with DOI; still requires sample, unit, and condition curation before public use."
