publication_id,doi,url,title,authors_short,journal,year,published_date,issue_pages,citation_raw_examples,validation_status,source_record_count
pub_6ea9cde71fbe,10.1002/adfm.200900663,,,,,,,,10.1002/adfm.200900663,unvalidated,6
pub_a518243e3fa7,10.1002/adfm.201303716,,,,,,,,10.1002/adfm.201303716,unvalidated,3
pub_38d35f463813,10.1002/adfm.201303865,,,,,,,,10.1002/adfm.201303865,unvalidated,6
pub_d7f3dd56f6aa,10.1002/adma.200602520,,,,,,,,10.1002/adma.200602520,unvalidated,1
pub_b8bf0337f0f9,10.1002/adma.200700516,,,,,,,,10.1002/adma.200700516,unvalidated,7
pub_4679fc454c41,10.1002/adma.200902943,,,,,,,,10.1002/adma.200902943,unvalidated,1
pub_460e35543ae3,10.1002/adma.201704482,,,,,,,,10.1002/adma.201704482,unvalidated,23
pub_0fad32c50285,10.1002/adma.202004277,,,,,,,,10.1002/adma.202004277,unvalidated,11
pub_62e8d02d9761,10.1002/adma.202008432,,,,,,,,10.1038/scientificamerican08181888-10524asupp || 10.1103/physrev.95.1095 || 10.1098/rspa.1972.0046,unvalidated,1300
pub_47a9ec41ccdf,10.1002/advs.202203008,,,,,,,,https://onlinelibrary.wiley.com/doi/10.1002/advs.202203008,unvalidated,4
pub_911b8f9c0186,10.1002/advs.202204250,,,,,,,,"Cho, Y. S. et al. Superstrong Carbon Nanotube Yarns by Developing Multiscale Bundle Structures on the Direct Spin-Line without Post-Treatment. Adv. Sci. 10, 2204250 (2023).",unvalidated,1
pub_7a0b265d392e,10.1002/aelm.201800910,,,,,,,,10.1002/aelm.201800910,unvalidated,2
pub_d190c096c814,10.1002/aelm.202001213,,,,,,,,10.1002/aelm.202001213,unvalidated,4
pub_f4f6e41b488f,10.1002/smll.200600368,,,,,,,,10.1002/smll.200600368,unvalidated,4
pub_177a99d06900,10.1002/smll.200700998,,,,,,,,10.1002/smll.200700998,unvalidated,2
pub_034a3e401cb2,10.1002/smll.200900741,,,,,,,,10.1002/smll.200900741,unvalidated,1
pub_f313d56aa523,10.1002/smll.201001120,,,,,,,,10.1002/smll.201001120,unvalidated,10
pub_cd9c29406b60,10.1002/smll.201500111,,,,,,,,10.1002/smll.201500111,unvalidated,2
pub_5d7cde28a5bf,10.1002/smll.201701131,,,,,,,,10.1002/smll.201701131,unvalidated,4
pub_e56e37a0f304,10.1007/bf00540981,,,,,,,,10.1007/bf00540981,unvalidated,1
pub_1d92eea2400b,10.1007/s00339-008-4606-z,,,,,,,,10.1007/s00339-008-4606-z,unvalidated,5
pub_e676330b38b7,10.1007/s10853-008-2558-5,,,,,,,,10.1007/s10853-008-2558-5,unvalidated,3
pub_e33ceccc27d5,10.1007/s13204-019-01133-y,,,,,,,,10.1007/s13204-019-01133-y,unvalidated,5
pub_0ef432405091,10.1016/0008-6223(82)90494-8,,,,,,,,10.1016/0008-6223(82)90494-8,unvalidated,4
pub_d960133f483e,10.1016/0008-6223(85)90235-0,,,,,,,,10.1016/0008-6223(85)90235-0,unvalidated,16
pub_07d4d28970d4,10.1016/0008-6223(88)90230-8,,,,,,,,10.1016/0008-6223(88)90230-8,unvalidated,8
pub_f862fbdf5612,10.1016/0008-6223(89)90074-2,,,,,,,,10.1016/0008-6223(89)90074-2,unvalidated,2
pub_46df9b25f858,10.1016/0025-5416(77)90043-x,,,,,,,,10.1016/0025-5416(77)90043-x,unvalidated,1
pub_c383d9f28e59,10.1016/0032-3861(91)90223-6,,,,,,,,10.1016/0032-3861(91)90223-6,unvalidated,9
pub_dff9341eea9e,10.1016/0038-1098(77)90985-1,,,,,,,,10.1016/0038-1098(77)90985-1,unvalidated,1
pub_8827a79d6956,10.1016/0038-1098(88)90675-8,,,,,,,,10.1016/0038-1098(88)90675-8,unvalidated,3
pub_e55423a4d05a,10.1016/0040-6090(94)05806-7,,,,,,,,10.1016/0040-6090(94)05806-7,unvalidated,1
pub_50ee2674c81e,10.1016/0379-6779(81)90006-0,,,,,,,,10.1016/0379-6779(81)90006-0,unvalidated,1
pub_756cbb963ab3,10.1016/0379-6779(83)90092-9,,,,,,,,10.1016/0379-6779(83)90092-9,unvalidated,2
pub_a39d26f0eb57,10.1016/0379-6779(83)90125-x,,,,,,,,10.1016/0379-6779(83)90125-x,unvalidated,3
pub_eaffad0cf57b,10.1016/0379-6779(84)90007-9,,,,,,,,10.1016/0379-6779(84)90007-9,unvalidated,17
pub_1865cd352812,10.1016/0379-6779(86)90133-5,,,,,,,,10.1016/0379-6779(86)90133-5,unvalidated,2
pub_a189969e0e46,10.1016/0379-6779(87)90930-1,,,,,,,,10.1016/0379-6779(87)90930-1,unvalidated,1
pub_32e8f0f4729c,10.1016/0379-6779(87)90941-6,,,,,,,,10.1016/0379-6779(87)90941-6,unvalidated,22
pub_d2302b172a24,10.1016/0379-6779(89)90379-2,,,,,,,,10.1016/0379-6779(89)90379-2,unvalidated,6
pub_c9fdaaf8cbcb,10.1016/0379-6779(89)90818-7,,,,,,,,10.1016/0379-6779(89)90818-7,unvalidated,9
pub_756ae9fdc990,10.1016/0379-6779(91)91033-7,,,,,,,,10.1016/0379-6779(91)91033-7,unvalidated,9
pub_363fac3795e3,10.1016/0379-6779(94)90175-9,,,,,,,,10.1016/0379-6779(94)90175-9,unvalidated,4
pub_1d56e652eeaa,10.1016/j.applthermaleng.2018.06.049,,,,,,,,10.1016/j.applthermaleng.2018.06.049,unvalidated,2
pub_9b02aea7c1ea,10.1016/j.cap.2005.01.053,,,,,,,,10.1016/j.cap.2005.01.053,unvalidated,2
pub_3cad79d5991d,10.1016/j.cap.2020.10.015,,,,,,,,10.1016/j.cap.2020.10.015,unvalidated,7
pub_04d2434dc6ac,10.1016/j.carbon.2007.10.010,,,,,,,,10.1016/j.carbon.2007.10.010,unvalidated,2
