issue_id,record_id,source_file,source_sheet,source_row,issue_type,field,message
issue_f34f6cdbe96d,rec_95c994cbfe4f,literature_addendum_records.tsv,Carbon 2026 iodine,7,missing_conditions,conditions,Strict comparison candidate lacks structured metadata: condition_atmosphere.
issue_10401ef4f243,rec_29f09d4a1375,literature_addendum_records.tsv,Carbon 2026 iodine,8,missing_conditions,conditions,Strict comparison candidate lacks structured metadata: condition_atmosphere.
issue_ac6dc55f1719,rec_11ef996830a7,literature_addendum_records.tsv,Carbon 2026 iodine,9,missing_conditions,conditions,Strict comparison candidate lacks structured metadata: condition_atmosphere.
issue_36e2d8e6443c,rec_f1e1f0f128dd,XiaO_DATA.xlsx,Sheet1,4,missing_reference,doi_raw,CNT/graphene row lacks DOI-like citation string.
issue_c6bfe8047f46,rec_f1e1f0f128dd,XiaO_DATA.xlsx,Sheet1,4,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_0da42a396d8f,rec_70d98b63b98c,XiaO_DATA.xlsx,Sheet1,5,missing_reference,doi_raw,CNT/graphene row lacks DOI-like citation string.
issue_ce5af081f382,rec_70d98b63b98c,XiaO_DATA.xlsx,Sheet1,5,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_a559b482b222,rec_fd18c73500a7,XiaO_DATA.xlsx,Sheet1,6,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_8da5403de478,rec_4bbda920b592,XiaO_DATA.xlsx,Sheet1,7,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_4a964c1e6c6f,rec_7ad5b7a404bd,XiaO_DATA.xlsx,Sheet1,8,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_707e37b67899,rec_38eae9663241,XiaO_DATA.xlsx,Sheet1,9,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
issue_320379ff330c,rec_070972d62e8c,XiaO_DATA.xlsx,Sheet1,10,missing_conditions,conditions,"Strict comparison candidate lacks structured metadata: condition_temperature_C, condition_atmosphere, measurement_method, gauge_length_mm, strain_rate_s_inv."
