record_id,source_file,source_sheet,source_row,source_priority,record_label,group_label,sample_name,citation_raw,doi_raw,url_raw,reference_keys,publication_title,publication_authors_short,publication_journal,publication_year,publication_published_date,publication_issue_pages,material_family,form_factor,cnt_type,synthesis_method,postprocessing,heat_treatment_C,condition_temperature_C,condition_atmosphere,measurement_method,gauge_length_mm,strain_rate_s_inv,provenance_table_figure_page,source_export,extraction_method,comparison_scope,public_status,internal_status,curator,confidence_score,raw_payload_json,notes,diameter_um_raw,diameter_um_error_raw,density_g_cm3_raw,density_g_cm3_error_raw,linear_density_tex_raw,linear_density_tex_error_raw,tenacity_N_tex_raw,tenacity_N_tex_error_raw,tensile_strength_GPa_raw,tensile_strength_GPa_error_raw,initial_modulus_N_tex_raw,initial_modulus_N_tex_error_raw,initial_modulus_GPa_raw,initial_modulus_GPa_error_raw,breaking_strain_pct_raw,breaking_strain_pct_error_raw,rupture_work_J_g_raw,rupture_work_J_g_error_raw,electrical_conductivity_S_cm_raw,electrical_conductivity_S_cm_error_raw,thermal_conductivity_W_mK_raw,thermal_conductivity_W_mK_error_raw,density_kg_m3,specific_volume_cm3_g,specific_volume_m3_kg,diameter_m,linear_density_kg_m,specific_strength_N_m_kg,tensile_strength_unit_inference,tensile_strength_GPa,tensile_strength_Pa,specific_modulus_N_m_kg,initial_modulus_GPa,initial_modulus_Pa,breaking_strain_fraction,rupture_work_J_kg,electrical_conductivity_S_m,specific_electrical_conductivity_S_m2_kg,thermal_conductivity_W_mK,specific_volume_cm3_g_raw,specific_electrical_conductivity_MS_m2_g_raw,electrical_conductivity_MS_m_raw,g_d_ratio_raw,g_d_ratio,electrical_conductivity_MS_m_error_raw,publication_year_raw,doi_raw_norm,electrical_conductivity_MS_m,density_g_cm3_plot,specific_conductivity_S_m2_kg_calc,specific_conductivity_kS_m2_kg,display_name,is_vilatela_2026,publication_title_for_plot,publication_year_for_plot,publication_journal_for_plot
rec_7d30ea972fc3,XiaO_DATA.xlsx,Sheet1,103,1,Metal,Metal,Al,http://www.matweb.com/      &        10.1126/science.1228065,10.1126/science.1228065,http://www.matweb.com/,,,,,,,,metal_comparator,fiber_yarn,,,,,,,,,,,OriginPro export from Xiao Ashby plot workbook,exported_table,context_comparator,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""record_label"": ""Metal"", ""notes"": ""Al"", ""citation_raw"": ""http://www.matweb.com/      &        10.1126/science.1228065"", ""diameter_um_raw"": null, ""diameter_um_error_raw"": null, ""density_g_cm3_raw"": 2.72, ""density_g_cm3_error_raw"": null, ""linear_density_tex_raw"": null, ""linear_density_tex_error_raw"": null, ""tenacity_N_tex_raw"": 0.0404411764705882, ""tenacity_N_tex_error_raw"": null, ""tensile_strength_GPa_raw"": 110, ""tensile_strength_GPa_error_raw"": null, ""initial_modulus_N_tex_raw"": null, ""initial_modulus_N_tex_error_raw"": null, ""initial_modulus_GPa_raw"": 69, ""initial_modulus_GPa_error_raw"": null, ""breaking_strain_pct_raw"": null, ""breaking_strain_pct_error_raw"": null, ""rupture_work_J_g_raw"": null, ""rupture_work_J_g_error_raw"": null, ""electrical_conductivity_S_cm_raw"": 476000, ""electrical_conductivity_S_cm_error_raw"": null, ""thermal_conductivity_W_mK_raw"": 238, ""thermal_conductivity_W_mK_error_raw"": null}",Al,,,2.72,,,,0.0404411764705882,,110.0,,,,69.0,,,,,,476000.0,,238.0,,2720.0,0.3676470588235294,0.0003676470588235,,,40441.1764705882,raw_value_assumed_MPa_due_to_scale,0.11,110000000.0,,69.0,69000000000.0,,,47600000.0,17500.0,238.0,,,,,,,,10.1126/science.1228065,47.6,2.72,17500.0,17.5,Metal: Al,False,,,
rec_efa2660d5ba3,RadarFigureSource.xlsx,Radar,41,2,Vilatela,,Liquid Spun and Doped,https://www.science.org/doi/epdf/10.1126/science.aeb0673,10.1126/science.aeb0673,https://www.science.org/doi/epdf/10.1126/science.aeb0673,,,,,,,,CNT_or_CNT_hybrid,fiber_yarn,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,strict_candidate_missing_conditions,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""Vilatela"", ""Comments"": ""Liquid Spun and Doped"", ""Density [g cm−3] ±"": 1.4121037463976944, ""Specific Volume [cm3g-1]"": 0.7081632653061225, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.975, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 2.22, ""Work of Rupture [J g−1]"": 23.46, ""E Cond [MS m^2/g]"": 17.35, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": 24.5, ""Tensile [GPa]"": 1.5, ""G:D Ratio"": 50, ""Publication"": ""https://www.science.org/doi/epdf/10.1126/science.aeb0673"", ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,1.4121037463976944,,,,,,1.5,,,,,,,,23.46,,,,,,1412.1037463976943,0.7081632653061225,0.0007081632653061,,,,raw_value_as_GPa,1.5,1500000000.0,,,,,23460.0,24500000.0,17350.0,,0.7081632653061225,17.35,24.5,50,50.0,,,10.1126/science.aeb0673,24.5,1.4121037463976942,17350.000000000004,17.350000000000005,Vilatela: Liquid Spun and Doped,True,Intercalated carbon nanotube fibers with high specific electrical conductivity,2026.0,Science
rec_874e08c38894,RadarFigureSource.xlsx,Radar,68,2,Aluminum 1199-H18,,Aluminum 1199-H18,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7a321b89269943629bb6d7a0a4a357b2,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7a321b89269943629bb6d7a0a4a357b2,,,,,,,,metal_comparator,fiber_yarn,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,context_comparator,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""Aluminum 1199-H18"", ""Comments"": null, ""Density [g cm−3] ±"": 2.7, ""Specific Volume [cm3g-1]"": 0.37037037037037035, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.04259259259259259, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 25.185185185185183, ""Work of Rupture [J g−1]"": 4.2, ""E Cond [MS m^2/g]"": 13.227513227513228, ""Thermal Conductivity [W m−1 K−1]"": 210, ""Electrical Conductivity [MS m−1]"": 35.714285714285715, ""Tensile [GPa]"": 0.115, ""G:D Ratio"": null, ""Publication"": ""https://www.matweb.com/search/DataSheet.aspx?MatGUID=7a321b89269943629bb6d7a0a4a357b2"", ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,2.7,,,,,,0.115,,,,,,,,4.2,,,,210.0,,2700.0,0.3703703703703703,0.0003703703703703,,,,raw_value_as_GPa,0.115,115000000.0,,,,,4200.0,35714285.71428572,13227.513227513227,210.0,0.3703703703703703,13.227513227513228,35.714285714285715,,,,,,35.714285714285715,2.7,13227.51322751323,13.22751322751323,Aluminum 1199-H18,False,,,
rec_75055a0960b8,XiaO_DATA.xlsx,Sheet1,101,1,Metal,Metal,Cu,http://www.matweb.com/      &        10.1126/science.1228063,10.1126/science.1228063,http://www.matweb.com/,,,,,,,,metal_comparator,fiber_yarn,,,,,,,,,,,OriginPro export from Xiao Ashby plot workbook,exported_table,context_comparator,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""record_label"": ""Metal"", ""notes"": ""Cu"", ""citation_raw"": ""http://www.matweb.com/      &        10.1126/science.1228063"", ""diameter_um_raw"": null, ""diameter_um_error_raw"": null, ""density_g_cm3_raw"": 8.92, ""density_g_cm3_error_raw"": null, ""linear_density_tex_raw"": null, ""linear_density_tex_error_raw"": null, ""tenacity_N_tex_raw"": 0.0373, ""tenacity_N_tex_error_raw"": null, ""tensile_strength_GPa_raw"": 220, ""tensile_strength_GPa_error_raw"": null, ""initial_modulus_N_tex_raw"": null, ""initial_modulus_N_tex_error_raw"": null, ""initial_modulus_GPa_raw"": 117, ""initial_modulus_GPa_error_raw"": null, ""breaking_strain_pct_raw"": null, ""breaking_strain_pct_error_raw"": null, ""rupture_work_J_g_raw"": null, ""rupture_work_J_g_error_raw"": null, ""electrical_conductivity_S_cm_raw"": 594000, ""electrical_conductivity_S_cm_error_raw"": null, ""thermal_conductivity_W_mK_raw"": 398, ""thermal_conductivity_W_mK_error_raw"": null}",Cu,,,8.92,,,,0.0373,,220.0,,,,117.0,,,,,,594000.0,,398.0,,8920.0,0.1121076233183856,0.0001121076233183,,,37300.0,raw_value_assumed_MPa_due_to_scale,0.22,220000000.0,,117.0,117000000000.0,,,59400000.0,6659.192825112108,398.0,,,,,,,,10.1126/science.1228063,59.4,8.92,6659.192825112108,6.659192825112108,Metal: Cu,False,,,
rec_3ff0b78bd107,RadarFigureSource.xlsx,Radar,67,2,Copper,,Copper,https://www.matweb.com/search/datasheet.aspx?matguid=1980eb23287a4408adc404dd39293942&ckck=1,,https://www.matweb.com/search/datasheet.aspx?matguid=1980eb23287a4408adc404dd39293942&ckck=1,,,,,,,,metal_comparator,fiber_yarn,,,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,context_comparator,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""Copper"", ""Comments"": null, ""Density [g cm−3] ±"": 8.96, ""Specific Volume [cm3g-1]"": 0.11160714285714285, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 0.03839285714285714, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 12.276785714285714, ""Work of Rupture [J g−1]"": 6.2, ""E Cond [MS m^2/g]"": 6.565126050420167, ""Thermal Conductivity [W m−1 K−1]"": 385, ""Electrical Conductivity [MS m−1]"": 58.8235294117647, ""Tensile [GPa]"": 0.344, ""G:D Ratio"": 0.14, ""Publication"": ""https://www.matweb.com/search/datasheet.aspx?matguid=1980eb23287a4408adc404dd39293942&ckck=1"", ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,8.96,,,,,,0.344,,,,,,,,6.2,,,,385.0,,8960.0,0.1116071428571428,0.0001116071428571,,,,raw_value_as_GPa,0.344,344000000.0,,,,,6200.0,58823529.4117647,6565.126050420167,385.0,0.1116071428571428,6.565126050420167,58.8235294117647,0.14,0.14,,,,58.8235294117647,8.96,6565.126050420168,6.565126050420168,Copper,False,,,
rec_0e17f1ed1d1a,XiaO_DATA.xlsx,Sheet1,100,1,Metal,Metal,Ag,http://www.matweb.com/      &        10.1126/science.1228062,10.1126/science.1228062,http://www.matweb.com/,,,,,,,,metal_comparator,fiber_yarn,,,,,,,,,,,OriginPro export from Xiao Ashby plot workbook,exported_table,context_comparator,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""record_label"": ""Metal"", ""notes"": ""Ag"", ""citation_raw"": ""http://www.matweb.com/      &        10.1126/science.1228062"", ""diameter_um_raw"": null, ""diameter_um_error_raw"": null, ""density_g_cm3_raw"": 10.5, ""density_g_cm3_error_raw"": null, ""linear_density_tex_raw"": null, ""linear_density_tex_error_raw"": null, ""tenacity_N_tex_raw"": 0.0133, ""tenacity_N_tex_error_raw"": null, ""tensile_strength_GPa_raw"": null, ""tensile_strength_GPa_error_raw"": null, ""initial_modulus_N_tex_raw"": null, ""initial_modulus_N_tex_error_raw"": null, ""initial_modulus_GPa_raw"": 72, ""initial_modulus_GPa_error_raw"": null, ""breaking_strain_pct_raw"": null, ""breaking_strain_pct_error_raw"": null, ""rupture_work_J_g_raw"": null, ""rupture_work_J_g_error_raw"": null, ""electrical_conductivity_S_cm_raw"": 620000, ""electrical_conductivity_S_cm_error_raw"": null, ""thermal_conductivity_W_mK_raw"": 427, ""thermal_conductivity_W_mK_error_raw"": null}",Ag,,,10.5,,,,0.0133,,,,,,72.0,,,,,,620000.0,,427.0,,10500.0,0.0952380952380952,9.523809523809524e-05,,,13300.0,,,,,72.0,72000000000.0,,,62000000.0,5904.761904761905,427.0,,,,,,,,10.1126/science.1228062,62.0,10.5,5904.761904761905,5.904761904761904,Metal: Ag,False,,,
rec_6e8182b8fa8c,RadarFigureSource.xlsx,Radar,23,2,D-SS-2022(60),,Densified Solution-Spun CNTF,,,,60,,,,,,,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,densified,,,,,,,,derived radar/plot workbook,derived_plot_workbook,strict_candidate_missing_conditions,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""D-SS-2022(60)"", ""Comments"": ""Densified Solution-Spun CNTF"", ""Density [g cm−3] ±"": 1.97, ""Specific Volume [cm3g-1]"": 0.5076142131979695, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 2.55, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": null, ""Work of Rupture [J g−1]"": null, ""E Cond [MS m^2/g]"": 5.685279187817258, ""Thermal Conductivity [W m−1 K−1]"": 398, ""Electrical Conductivity [MS m−1]"": 11.2, ""Tensile [GPa]"": 5.023499999999999, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,1.97,,,,,,5.023499999999999,,,,,,,,,,,,398.0,,1970.0,0.5076142131979695,0.0005076142131979,,,,raw_value_as_GPa,5.023499999999999,5023499999.999999,,,,,,11200000.0,5685.279187817258,398.0,0.5076142131979695,5.685279187817258,11.2,,,,,,11.2,1.97,5685.279187817259,5.685279187817259,D-SS-2022(60): Densified Solution-Spun CNTF,False,,,
rec_d4b7a10fead1,RadarFigureSource.xlsx,Fibers With Error,24,2,D-SS-2022(60),,Densified Solution-Spun CNTF,,,,60,,,,,,,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,densified,,,,,,,,derived radar/plot workbook,derived_plot_workbook,strict_candidate_missing_conditions,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""D-SS-2022(60)"", ""Comments"": ""Densified Solution-Spun CNTF"", ""Density [g cm−3] ±"": 1.97, ""Unnamed: 4"": null, ""1/Density [cm3g-1]"": 0.5076142131979695, ""Tenacity [N tex−1]"": 2.55, ""±"": 0.2, ""Initial Modulus [N tex−1]"": null, ""±.1"": null, ""Elongation [%]"": null, ""±.2"": null, ""Work of Rupture [J g−1]"": null, ""±.3"": null, ""Electrical Conductivity [MS m−1]"": 11.2, ""±.4"": null, ""Thermal Conductivity [W m−1 K−1]"": 398, ""±.5"": 27, ""Tensile (Gpa)"": 5.023499999999999, ""Unnamed: 19"": null}",,,,1.97,,,,2.55,0.2,5.023499999999999,,,,,,,,,,,,398.0,27.0,1970.0,0.5076142131979695,0.0005076142131979,,,2550000.0,raw_value_as_GPa,5.023499999999999,5023499999.999999,,,,,,11200000.0,5685.279187817259,398.0,0.5076142131979695,,11.2,,,,,,11.2,1.97,5685.279187817259,5.685279187817259,D-SS-2022(60): Densified Solution-Spun CNTF,False,,,
rec_e8e6044d4d5e,RadarFigureSource.xlsx,Radar,8,2,SS-2017(58),,Solution-spun CNTF,https://doi.org/10.1016/j.carbon.2020.07.058,10.1016/j.carbon.2020.07.058,https://doi.org/10.1016/j.carbon.2020.07.058,58,,,,,,,CNT_or_CNT_hybrid,fiber_yarn,,solution_spun,,,,,,,,,derived radar/plot workbook,derived_plot_workbook,strict_candidate_missing_conditions,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""SS-2017(58)"", ""Comments"": ""Solution-spun CNTF"", ""Density [g cm−3] ±"": 1.5, ""Specific Volume [cm3g-1]"": 0.6666666666666666, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 1.54, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 160, ""Work of Rupture [J g−1]"": 17, ""E Cond [MS m^2/g]"": 5.666666666666667, ""Thermal Conductivity [W m−1 K−1]"": null, ""Electrical Conductivity [MS m−1]"": 8.5, ""Tensile [GPa]"": 2.31, ""G:D Ratio"": null, ""Publication"": ""https://doi.org/10.1016/j.carbon.2020.07.058"", ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,1.5,,,,,,2.31,,,,,,,,17.0,,,,,,1500.0,0.6666666666666666,0.0006666666666666,,,,raw_value_as_GPa,2.31,2310000000.0,,,,,17000.0,8500000.0,5666.666666666667,,0.6666666666666666,5.666666666666667,8.5,,,,,10.1016/j.carbon.2020.07.058,8.5,1.5,5666.666666666667,5.666666666666667,SS-2017(58): Solution-spun CNTF,False,"Improved properties, increased production, and the path to broad adoption of carbon nanotube fibers",2021.0,Carbon
rec_761c6bc971c3,RadarFigureSource.xlsx,Radar,20,2,S·DWNT-Raw,,S·DWNT-Raw,,,,,,,,,,,CNT_or_CNT_hybrid,fiber_yarn,SWCNT_DWCNT_mix,,raw,,,,,,,,derived radar/plot workbook,derived_plot_workbook,strict_candidate_missing_conditions,internal_seed_not_public,needs_reference_unit_condition_review,source_compilation,,"{""Name"": ""S·DWNT-Raw"", ""Comments"": null, ""Density [g cm−3] ±"": 1.92, ""Specific Volume [cm3g-1]"": 0.5208333333333334, ""Tenacity  [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 2.1, ""Initial Modulus [N tex−1 = GPa/SG = GPa/(g/cm^3)]"": 155, ""Work of Rupture [J g−1]"": 39.38, ""E Cond [MS m^2/g]"": 5.666666666666667, ""Thermal Conductivity [W m−1 K−1]"": 380, ""Electrical Conductivity [MS m−1]"": 10.88, ""Tensile [GPa]"": 4.032, ""G:D Ratio"": null, ""Publication"": null, ""Unnamed: 14"": null, ""Unnamed: 15"": null}",,,,1.92,,,,,,4.032,,,,,,,,39.38,,,,380.0,,1920.0,0.5208333333333334,0.0005208333333333,,,,raw_value_as_GPa,4.032,4032000000.0,,,,,39380.0,10880000.0,5666.666666666667,380.0,0.5208333333333334,5.666666666666667,10.88,,,,,,10.88,1.92,5666.666666666667,5.666666666666667,S·DWNT-Raw,False,,,
